ela,edge,noise_texture,sharpness,label
1.73,23.98,33.32,43.98,0
2.61,26.26,33.46,44.92,0
1.33,18.04,34.26,50.23,0
3.31,17.65,34.81,51.92,0
3.1,17.99,34.73,50.91,0
2.61,26.26,33.46,44.92,0
2.5,17.07,34.71,51.83,0
2.88,14.85,32.69,52.96,0
0.88,36.7,22.8,17.38,1
3.43,32.82,28.67,20.75,1
2.73,33.1,30.89,46.37,1
2.7,32.85,24.27,3.12,1
3.01,30.18,33.21,19.88,1
1.64,70.83,9.53,66.72,1
2.74,35.26,16.32,34.39,1
2.28,83.85,100.0,100.0,1
0.89,85.07,5.18,71.16,0
0.74,91.23,6.71,72.69,0
1.1,88.68,5.79,75.47,0
1.09,92.86,5.91,67.59,0
0.87,86.42,8.35,64.68,0
0.74,91.23,6.71,72.69,0
1.13,92.38,2.31,58.72,0
1.3,83.94,5.81,65.57,0
0.75,13.58,61.07,58.48,1
0.36,5.98,60.32,58.53,1
0.36,33.81,42.67,15.93,1
0.49,58.67,44.89,31.27,1
0.55,34.27,50.92,50.88,1
0.86,8.02,60.54,58.64,1
0.38,57.74,51.33,26.33,1
0.16,31.35,2.64,49.82,1
1.74,22.26,31.86,45.97,0
2.79,24.52,22.41,51.64,0
1.86,26.18,14.47,47.36,0
0.4,23.09,29.79,43.36,0
5.38,25.45,29.42,43.64,0
1.45,24.49,29.44,43.15,0
1.76,24.24,27.8,43.74,0
1.76,24.24,27.8,43.74,0
2.45,12.78,32.67,53.4,1
0.7,43.78,29.39,48.85,1
2.86,10.2,46.3,57.48,1
1.05,77.28,100.0,100.0,1
2.93,15.15,40.92,55.34,1
2.75,36.78,60.32,58.12,1
2.67,10.35,48.02,57.69,1
1.83,71.12,9.93,42.75,1
4.49,9.86,9.18,39.21,0
3.95,13.58,7.3,36.59,0
1.76,13.75,10.43,33.5,0
2.19,12.84,21.79,48.65,0
1.97,12.38,9.74,36.4,0
2.57,13.49,21.76,48.79,0
1.97,12.38,9.74,36.4,0
1.97,12.38,9.74,36.4,0
0.98,53.89,100.0,100.0,1
0.79,54.48,100.0,100.0,1
1.79,61.0,21.5,68.36,1
2.01,31.53,8.14,27.54,1
1.55,68.52,100.0,100.0,1
1.78,27.78,65.47,33.17,1
1.07,80.95,89.41,100.0,1
2.82,32.97,9.68,22.5,1
1.32,35.15,29.17,28.05,0
0.61,37.38,32.64,32.05,0
0.66,39.71,31.15,29.27,0
0.61,37.38,32.64,32.05,0
0.87,34.64,33.73,32.47,0
1.16,40.89,30.47,25.43,0
0.47,44.27,29.94,28.29,0
1.02,37.31,31.23,29.79,0
0.82,19.17,47.77,56.48,1
1.06,20.22,53.78,28.79,1
1.07,35.62,31.22,42.56,1
1.06,24.93,42.54,53.14,1
1.16,82.59,26.91,2.4,1
0.74,18.17,59.32,59.05,1
1.05,12.68,55.04,57.88,1
1.06,29.0,48.97,45.04,1
4.5,8.01,4.71,48.71,0
0.29,6.4,5.08,48.87,0
2.37,7.26,18.86,55.14,0
2.83,6.42,1.97,50.8,0
2.37,7.26,18.86,55.14,0
2.36,4.0,0.13,49.5,0
2.63,4.0,1.93,51.06,0
3.78,7.85,8.31,46.69,0
3.95,23.12,29.01,40.23,1
0.79,33.88,2.19,34.8,1
2.38,79.23,100.0,100.0,1
1.13,75.04,100.0,100.0,1
0.21,28.54,12.24,30.66,1
1.42,60.68,100.0,100.0,1
1.62,31.35,4.51,15.67,1
0.79,9.54,40.51,53.47,1
2.13,1.06,7.7,31.83,0
2.87,1.66,6.09,48.14,0
4.55,1.45,15.2,53.71,0
1.65,0.0,4.08,43.19,0
2.88,1.01,10.87,53.1,0
