ela,edge,noise_texture,sharpness,label
1.61,32.49,13.87,44.31,0
1.98,35.13,20.68,50.63,0
2.93,32.51,20.24,49.59,0
3.17,43.62,15.05,49.03,0
3.63,34.27,16.58,49.82,0
1.98,35.13,20.68,50.63,0
2.49,43.46,15.41,48.93,0
3.41,35.04,15.81,49.57,0
0.97,28.85,38.54,56.63,1
2.48,26.18,48.56,58.82,1
3.82,23.22,46.75,52.6,1
2.3,33.66,14.09,43.96,1
4.06,18.61,41.07,56.27,1
4.19,43.22,25.54,47.44,1
1.84,35.8,27.76,52.79,1
3.03,29.15,16.44,53.39,0
1.25,29.49,1.95,44.47,0
2.57,28.31,16.11,53.55,0
4.49,29.71,16.82,53.64,0
1.66,28.56,16.63,53.64,0
1.25,29.49,1.95,44.47,0
2.05,30.2,17.06,53.85,0
3.2,27.26,17.47,53.99,0
2.35,12.53,45.66,57.92,1
0.85,64.46,39.95,27.64,1
0.74,37.02,23.31,47.01,1
3.01,21.16,29.49,57.62,1
0.72,18.09,29.07,56.67,1
3.63,63.52,2.71,19.31,0
2.55,29.96,16.59,20.07,0
2.62,28.66,15.58,21.18,0
2.4,61.54,3.0,23.33,0
1.97,61.58,2.9,23.03,0
2.55,29.96,16.59,20.07,0
1.57,61.59,3.17,21.04,0
3.85,61.88,2.66,18.18,0
3.49,47.59,57.19,58.66,1
1.82,40.99,57.71,58.5,1
3.44,32.19,62.71,58.21,1
3.22,40.08,22.68,20.51,1
1.57,79.5,46.63,48.49,1
0.91,3.04,25.09,59.38,1
1.76,41.06,58.92,56.75,1
1.48,26.25,61.37,59.18,1
2.98,18.86,59.2,48.29,0
3.49,21.23,18.37,53.8,0
1.98,38.32,17.1,56.39,0
2.98,18.86,59.2,48.29,0
2.0,38.79,17.1,56.48,0
2.98,18.86,59.2,48.29,0
2.98,18.86,59.2,48.29,0
0.08,35.16,21.0,52.75,0
0.69,19.71,56.53,59.26,1
1.85,31.3,34.6,58.78,1
2.73,14.71,8.14,48.54,1
2.42,14.46,52.69,59.26,1
1.17,37.22,23.59,57.83,1
1.22,14.71,8.14,48.54,1
2.73,14.71,8.14,48.54,1
2.42,14.46,52.69,59.26,1
3.22,30.06,3.53,49.24,0
2.63,35.21,11.06,47.69,0
1.67,25.94,10.38,50.5,0
2.63,35.21,11.06,47.69,0
3.79,20.54,6.82,51.16,0
4.01,27.77,10.99,49.63,0
2.72,25.52,3.36,52.27,0
2.44,22.21,5.52,51.63,0
1.62,33.03,18.0,42.32,1
1.33,23.34,39.46,38.67,1
1.33,29.62,100.0,19.12,1
2.31,45.99,59.13,33.26,1
2.69,36.01,7.64,17.86,1
0.75,21.94,12.91,34.75,1
1.36,20.72,21.04,52.52,1
2.24,14.14,29.28,57.19,1
2.47,17.29,57.6,58.14,0
0.05,14.07,43.17,59.49,0
2.44,14.51,44.0,59.46,0
2.44,17.02,58.05,58.27,0
2.44,14.51,44.0,59.46,0
3.12,13.58,34.38,59.05,0
3.56,13.29,14.28,57.34,0
2.57,18.63,57.29,58.06,0
1.63,12.19,45.81,59.37,1
0.65,81.61,16.08,32.91,1
0.91,87.3,100.0,11.39,1
0.49,31.08,49.01,55.76,1
